year,rain_anom_mm,temp_anom_C
1884,-164.30333333333334,-0.6983333333333329
1885,-137.80333333333334,-1.8399999999999999
1886,78.69666666666672,-1.5649999999999995
1887,-502.70333333333326,-1.9066666666666663
1888,-216.30333333333326,-1.8899999999999997
1889,-356.00333333333333,-1.2649999999999995
1890,-290.00333333333333,-1.3316666666666666
1891,51.9966666666667,-1.473333333333333
1892,-368.5033333333333,-1.9316666666666666
1893,-354.1033333333333,-0.08166666666666637
1894,-54.40333333333329,-0.8483333333333332
1895,-301.1033333333333,-1.698333333333333
1896,-287.50333333333333,-0.8899999999999996
1897,-88.9033333333333,-0.6899999999999998
1898,-223.9033333333333,-0.2649999999999995
1899,-227.30333333333328,-0.3566666666666663
1900,-72.90333333333332,-0.8816666666666664
1901,-278.1033333333333,-1.1649999999999998
1902,-396.1033333333333,-1.3899999999999997
1903,292.2966666666667,-1.0733333333333328
1904,-284.3033333333333,-1.19
1905,-351.9033333333333,-1.1149999999999998
1906,-138.20333333333332,-0.9233333333333329
1907,-172.70333333333326,-1.2649999999999997
1908,-194.70333333333332,-0.7399999999999997
1909,-196.70333333333326,-1.498333333333333
1910,49.59666666666668,-0.9149999999999996
1911,-178.70333333333332,-0.18999999999999995
1912,78.59666666666672,-0.8149999999999996
1913,-53.40333333333332,-0.348333333333333
1914,-26.403333333333293,-0.32333333333333314
1915,-124.70333333333329,-1.1483333333333332
1916,-87.70333333333335,-0.9899999999999999
1917,-212.20333333333332,-1.6566666666666663
1918,22.296666666666752,-0.5899999999999997
1919,-192.5033333333333,-1.6483333333333328
1920,152.49666666666667,-0.5816666666666662
1921,-398.4033333333333,0.276666666666667
1922,-159.20333333333335,-1.448333333333333
1923,93.4966666666667,-0.9899999999999997
1924,102.29666666666668,-0.9066666666666664
1925,-96.90333333333332,-0.9733333333333328
1926,-169.00333333333327,-0.473333333333333
1927,105.09666666666672,-0.9566666666666662
1928,183.49666666666673,-0.5983333333333332
1929,-26.50333333333333,-1.1733333333333331
1930,107.3966666666667,-0.8316666666666664
1931,-15.803333333333285,-1.1566666666666663
1932,-91.40333333333328,-0.8066666666666663
1933,-471.6033333333333,-0.5399999999999997
1934,-178.50333333333327,-0.3566666666666663
1935,-56.903333333333336,-0.5649999999999995
1936,-72.80333333333331,-0.8316666666666664
1937,-275.8033333333333,-0.6983333333333329
1938,-51.10333333333331,-0.273333333333333
1939,-9.303333333333299,-0.5399999999999998
1940,-166.80333333333334,-0.9899999999999997
1941,-341.00333333333333,-1.0566666666666662
1942,-205.80333333333326,-0.8983333333333331
1943,-90.30333333333328,-0.24833333333333288
1944,-136.80333333333328,-0.5899999999999997
1945,-205.50333333333327,-0.0983333333333332
1946,99.69666666666672,-0.8566666666666661
1947,-217.20333333333332,-0.8733333333333331
1948,91.19666666666672,-0.25666666666666654
1949,-231.10333333333332,0.3683333333333337
1950,102.59666666666669,-0.7899999999999996
1951,76.3966666666667,-0.9566666666666662
1952,-168.9033333333333,-1.0399999999999998
1953,-279.1033333333333,-0.298333333333333
1954,301.39666666666665,-0.94
1955,-312.4033333333333,-0.8066666666666666
1956,-278.5033333333333,-1.1899999999999995
1957,10.896666666666647,-0.12333333333333323
1958,25.6966666666667,-0.7399999999999994
1959,-109.0033333333333,0.2266666666666671
1960,256.5966666666667,-0.5899999999999999
1961,-100.90333333333331,-0.43999999999999967
1962,-205.20333333333332,-1.6233333333333333
1963,-230.6033333333333,-1.8649999999999995
1964,-349.00333333333333,-0.8399999999999999
1965,32.196666666666715,-1.323333333333333
1966,43.896666666666704,-0.7983333333333329
1967,128.6966666666667,-0.7066666666666664
1968,-99.20333333333329,-0.9149999999999997
1969,-192.70333333333332,-1.0566666666666664
1970,7.596666666666721,-0.7483333333333327
1971,-272.7033333333333,-0.3816666666666663
1972,-50.90333333333332,-1.1566666666666663
1973,-317.50333333333333,-0.5983333333333332
1974,148.69666666666666,-0.8566666666666664
1975,-342.6033333333333,-0.3399999999999997
1976,-338.4033333333333,-0.5066666666666664
