month,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
January,7,5,10,8,8,5,5,16,3,15,7
February,71,49,16,64,70,12,15,16,46,0,17
March,243,264,124,27,156,112,137,220,23,13,361
April,910,221,486,83,394,324,412,275,108,54,399
May,170,183,226,206,245,237,32,100,212,63,258
June,144,88,54,256,30,93,91,98,311,56,55
July,69,61,93,949,145,30,84,160,64,52,
August,47,79,27,119,37,52,43,304,12,45,
September,56,24,18,35,52,35,56,99,15,11,
October,41,36,18,53,5,9,8,15,17,11,
November,4,41,17,18,4,9,14,3,11,12,
December,4,12,8,1,0,4,8,9,6,6,
